Iteration 158, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.44s
Iteration 159, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.51s
Iteration 160, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.56s
Iteration 161, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.63s
Iteration 162, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.68s
Iteration 163, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.73s
Iteration 164, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.79s
Iteration 165, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.84s
Iteration 166, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.91s
Iteration 167, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.96s
Iteration 168, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.01s
Iteration 169, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.08s
Iteration 170, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.13s
Iteration 171, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.20s
Iteration 172, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.25s
Iteration 173, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.30s
Iteration 174, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.37s
Iteration 175, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.42s
Iteration 176, Best Cost: 5932, Hard Conflicts: 0, Soft Conflicts: 5932, Time: 10.48s
Iteration 177, Best Cost: 5927, Hard Conflicts: 0, Soft Conflicts: 5927, Time: 10.53s
Iteration 178, Best Cost: 5927, Hard Conflicts: 0, Soft Conflicts: 5927, Time: 10.58s
Iteration 179, Best Cost: 5927, Hard Conflicts: 0, Soft Conflicts: 5927, Time: 10.65s
