Iter=45831, currentCost=1850, Hard Conflicts: 0, Soft Conflicts: 1850, Best Cost: 1850, Time: 67.68s
Iter=51476, currentCost=1844, Hard Conflicts: 0, Soft Conflicts: 1844, Best Cost: 1844, Time: 76.06s
Iter=55001, currentCost=1830, Hard Conflicts: 0, Soft Conflicts: 1830, Best Cost: 1830, Time: 81.43s
Iter=55812, currentCost=1829, Hard Conflicts: 0, Soft Conflicts: 1829, Best Cost: 1829, Time: 82.68s
Iter=56063, currentCost=1807, Hard Conflicts: 0, Soft Conflicts: 1807, Best Cost: 1807, Time: 83.05s
Iter=58251, currentCost=1763, Hard Conflicts: 0, Soft Conflicts: 1763, Best Cost: 1763, Time: 86.31s
Iter=58530, currentCost=1737, Hard Conflicts: 0, Soft Conflicts: 1737, Best Cost: 1737, Time: 86.72s
Iter=58645, currentCost=1722, Hard Conflicts: 0, Soft Conflicts: 1722, Best Cost: 1722, Time: 86.89s
Iter=58762, currentCost=1710, Hard Conflicts: 0, Soft Conflicts: 1710, Best Cost: 1710, Time: 87.08s
Iter=58859, currentCost=1704, Hard Conflicts: 0, Soft Conflicts: 1704, Best Cost: 1704, Time: 87.23s
Iter=58905, currentCost=1692, Hard Conflicts: 0, Soft Conflicts: 1692, Best Cost: 1692, Time: 87.29s
Iter=59381, currentCost=1680, Hard Conflicts: 0, Soft Conflicts: 1680, Best Cost: 1680, Time: 88.00s
Iter=60015, currentCost=1656, Hard Conflicts: 0, Soft Conflicts: 1656, Best Cost: 1656, Time: 88.94s
Iter=60031, currentCost=1602, Hard Conflicts: 0, Soft Conflicts: 1602, Best Cost: 1602, Time: 88.96s
Iter=61707, currentCost=1591, Hard Conflicts: 0, Soft Conflicts: 1591, Best Cost: 1591, Time: 91.39s
Iter=79758, currentCost=1585, Hard Conflicts: 0, Soft Conflicts: 1585, Best Cost: 1585, Time: 118.04s
